loc_pi,bedrooms,bathrooms,size_density_idx,furnishing,dist_to_airport,luxury_score,class_luxury_premium,loc_price_volatility,loc_std_dev,condition,is_elite_tier,log_price
8.85366542803745,3,2,3.0,0,5.6705191984462004,3,8.517193191416238,1.2683908262507373,0.9113436157205355,,0,8.987196820661973
10.232765420431292,2,2,2.0,1,2.2206697085304343,2,-10.138757264127392,1.1355839794990192,0.8679067734982703,,0,8.699514748210191
8.294049640102028,4,4,8.0,1,18.251946167302695,4,25.551579574248713,1.163150809805681,0.9710726826573478,,0,9.392661928770137
7.824046010856292,2,2,2.0,0,12.209119301191969,1,0.0,0.8556661100577205,0.7247259830711019,0.0,0,7.90100705199242
8.294049640102028,2,2,2.0,1,7.214692203502283,0,-7.90100705199242,1.8135699178391942,1.1794491941687588,0.0,0,7.600902459542082
7.696212639346407,2,3,2.0,0,19.018731884398417,1,0.0,0.8472978603872034,0.7574824110454297,,0,7.824046010856292
7.3777589082278725,6,6,12.0,0,30.155543906354374,5,29.252881548361206,0.6931858126233195,0.8234427955216024,,0,8.987196820661973
9.29647598244641,2,2,4.0,0,7.680060817176273,0,-17.7073308560749,0.9526590645465998,0.9517219195824178,0.0,0,8.294049640102028
8.294049640102028,2,2,4.0,1,18.251946167302695,0,-8.517193191416238,1.163150809805681,0.9710726826573478,,0,8.517193191416238
8.294049640102028,3,3,6.0,0,8.271447642226347,4,26.56099628411235,0.6931471805599454,0.7615979360030828,,0,9.472704636443673
8.242756345714477,1,1,1.0,0,7.612559690079143,0,-8.85366542803745,1.863218433210199,1.1012278022597888,0.0,0,7.313220387090301
8.294049640102028,1,1,1.0,2,18.251946167302695,0,-8.517193191416238,1.163150809805681,0.9710726826573478,,0,7.090076835776092
8.294049640102028,3,3,6.0,1,18.251946167302695,0,-8.517193191416238,1.163150809805681,0.9710726826573478,0.0,0,8.517193191416238
10.232765420431292,4,5,8.0,1,2.2206697085304343,3,0.0,1.1355839794990192,0.8679067734982703,,0,10.119002076685847
9.546812608597396,1,1,1.0,2,3.4661836133356143,5,17.7073308560749,1.3121863889661682,0.9491452707032463,0.0,0,8.517193191416238
8.294049640102028,2,2,2.0,1,18.251946167302695,3,17.034386382832476,1.163150809805681,0.9710726826573478,0.0,0,8.006367567650246
7.3777589082278725,1,2,1.0,1,30.155543906354374,4,21.939661161270905,0.6931858126233195,0.8234427955216024,,0,7.313220387090301
7.600902459542082,3,2,3.0,0,11.300760384516531,1,7.90100705199242,0.5500463369192721,0.7763495079135813,0.0,0,7.824046010856292
7.3777589082278725,2,3,2.0,0,30.155543906354374,4,21.939661161270905,0.6931858126233195,0.8234427955216024,,0,8.160518247477505
8.85366542803745,3,4,6.0,0,5.6705191984462004,2,0.0,1.2683908262507373,0.9113436157205355,,0,9.883641924315421
7.824046010856292,2,2,2.0,0,12.209119301191969,1,0.0,0.8556661100577205,0.7247259830711019,0.0,0,7.600902459542082
8.006367567650246,3,3,6.0,0,9.006657315819377,1,0.0,0.7996937882903001,0.7473039579811681,0.0,0,8.699514748210191
7.3777589082278725,2,2,2.0,0,30.155543906354374,0,-7.313220387090301,0.6931858126233195,0.8234427955216024,,0,7.495541943884256
10.232765420431292,3,3,3.0,2,2.2206697085304343,3,0.0,1.1355839794990192,0.8679067734982703,0.0,0,10.858998997563564
8.294049640102028,1,1,1.0,0,7.214692203502283,0,-7.90100705199242,1.8135699178391942,1.1794491941687588,,0,7.170119543449628
10.735308535759934,3,4,6.0,1,3.4300796899389963,5,20.277514528254784,0.6014477628175428,0.5067603052978433,0.0,0,10.419300717813158
7.600902459542082,2,3,2.0,0,18.410909661771427,2,16.012735135300492,0.6931471805599445,0.8404521628785456,,0,7.649692623711514
8.85366542803745,5,4,10.0,0,5.6705191984462004,1,-8.517193191416238,1.2683908262507373,0.9113436157205355,,0,8.987196820661973
9.047821442478408,2,2,4.0,0,6.134158163561489,0,-17.7073308560749,1.5040773967762746,0.9529731993428504,0.0,0,7.824046010856292
8.294049640102028,1,1,1.0,0,7.214692203502283,1,0.0,1.8135699178391942,1.1794491941687588,0.0,0,7.438383530044307
7.696212639346407,3,3,3.0,0,19.018731884398417,0,-7.90100705199242,0.8472978603872034,0.7574824110454297,,0,8.160518247477505
7.696212639346407,2,2,2.0,0,19.018731884398417,0,-7.90100705199242,0.8472978603872034,0.7574824110454297,0.0,0,7.3777589082278725
9.546812608597396,2,2,2.0,1,3.4661836133356143,3,0.0,1.3121863889661682,0.9491452707032463,0.0,0,8.411832675758411
9.047821442478408,4,4,8.0,1,6.134158163561489,1,-8.85366542803745,1.5040773967762746,0.9529731993428504,,0,10.165851817003619
8.294049640102028,1,1,1.0,1,7.214692203502283,2,7.90100705199242,1.8135699178391942,1.1794491941687588,0.0,0,8.85366542803745
8.13487160028373,2,3,2.0,0,13.677237664653655,0,0.0,0.7992277078224239,0.8204087123786725,0.0,0,7.8632667240095735
8.85366542803745,1,1,1.0,0,5.6705191984462004,1,-8.517193191416238,1.2683908262507373,0.9113436157205355,0.0,0,7.495541943884256
8.294049640102028,4,5,8.0,1,7.214692203502283,1,0.0,1.8135699178391942,1.1794491941687588,0.0,0,8.517193191416238
7.600902459542082,1,1,2.0,0,23.98554285627474,0,-7.313220387090301,1.203972804325936,0.8849685454831262,,0,6.396929655216146
7.696212639346407,2,3,2.0,1,12.178739478186511,4,35.4146617121498,1.1239300966523995,0.9369520175687487,,0,8.517193191416238
8.006367567650246,1,1,1.0,0,9.006657315819377,0,-8.006367567650246,0.7996937882903001,0.7473039579811681,,0,7.313220387090301
8.987196820661973,5,6,10.0,0,8.201748750528372,3,-8.85366542803745,1.4919694614669012,1.001269599152879,,0,10.685103381083682
8.160518247477505,2,2,4.0,1,16.762470053297246,0,-8.006367567650246,1.0296194171811583,0.7853375082681692,0.0,0,8.293799608846818
9.047821442478408,4,5,4.0,1,6.134158163561489,3,8.85366542803745,1.5040773967762746,0.9529731993428504,,0,9.680344001221918
9.95227771670556,3,2,6.0,0,3.4340785971751164,0,-30.416271792382176,1.5235806711005608,1.0132763922428702,0.0,0,9.615805480084347
7.696212639346407,2,3,2.0,0,12.178739478186511,0,0.0,1.1239300966523995,0.9369520175687487,,0,8.294049640102028
8.987196820661973,3,3,3.0,0,5.594625644380649,0,-10.138757264127392,2.0365605397074056,1.186063162692275,0.0,0,8.987196820661973
7.824046010856292,2,2,2.0,1,12.209119301191969,3,17.7073308560749,0.8556661100577205,0.7247259830711019,,0,8.411832675758411
7.696212639346407,3,4,3.0,0,19.018731884398417,4,23.70302115597726,0.8472978603872034,0.7574824110454297,,0,8.160518247477505
8.85366542803745,2,2,2.0,0,6.9446859394421505,0,-20.277514528254784,1.203972804325936,0.9379625843218597,0.0,0,8.517193191416238
8.294049640102028,3,4,6.0,1,7.214692203502283,3,15.80201410398484,1.8135699178391942,1.1794491941687588,1.0,0,8.612503371220562
7.824046010856292,2,3,2.0,1,12.209119301191969,0,-8.85366542803745,0.8556661100577205,0.7247259830711019,0.0,0,7.824046010856292
8.987196820661973,2,2,2.0,1,8.201748750528372,8,35.4146617121498,1.4919694614669012,1.001269599152879,,1,8.006367567650246
10.742782938097337,5,5,10.0,0,4.133671694182304,1,-20.277514528254784,0.5432945067644255,0.6429751530884334,0.0,0,10.714417768752456
