url,house_type,bathrooms,bedrooms,price,locality,lat,lng,condition,furnishing,24_hour_electricity,air_conditioning,apartment,balcony,chandelier,dining_area,dishwasher,hot_water,kitchen_cabinets,kitchen_shelf,microwave,pop_ceiling,pre_paid_meter,refrigerator,tv,tiled_floor,wardrobe,wi_fi
https://jiji.com.gh/ga-south-municipal/houses-apartments-for-rent/2bdrm-apartment-in-de-icons-real-estate-ga-south-municipal-for-rent-wQ3pNdUDYEFlNcxmRNt2yHkw.html,Apartment,3,2,3500.0,Ga South Municipal,5.666671,-0.4313729,New,Unfurnished,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
https://jiji.com.gh/spintex/houses-apartments-for-rent/3bdrm-house-in-spintex-for-rent-eOgHrp9DmgyrXemXudydB4uS.html,House,4,3,19607.0,Spintex,5.6376136,-0.1266064,New,Unfurnished,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0
https://jiji.com.gh/commandos/houses-apartments-for-rent/2bdrm-apartment-in-adenta-commandos-for-rent-9PHQtxKxZ15ejIMmnJUUFUcp.html,Apartment,2,2,2000.0,Adenta,5.7141674,-0.15418,Used,Unfurnished,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0
https://jiji.com.gh/dome/houses-apartments-for-rent/3bdrm-house-in-dome-pillar-2-3-for-rent-6EQSK3Q3izHhZStiSEaurAcs.html,House,3,3,6000.0,Dome,5.6439941,-0.2373383,Used,Unfurnished,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
https://jiji.com.gh/ga-south-municipal/houses-apartments-for-rent/2bdrm-apartment-in-first-digital-real-ga-south-municipal-for-rent-wFcajpaFPTl6nglhjgO1Qt2d.html,Apartment,2,2,1800.0,Ga South Municipal,5.666671,-0.4313729,New,Unfurnished,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0
https://jiji.com.gh/airport-residential-area/houses-apartments-for-rent/furnished-3bdrm-apartment-in-airport-residential-area-for-rent-fFB0nO8hfzOrrKcZtUIBB1FL.html,Apartment,3,3,52000.0,Airport Residential Area,5.606104699999999,-0.1860362,Used,Furnished,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0
https://jiji.com.gh/teshie/houses-apartments-for-rent/1bdrm-apartment-in-penny-taxi-rank-teshie-for-rent-htE6kbEhSeNDEdTNZEld5zbx.html,Apartment,1,1,1300.0,Teshie,5.5831665,-0.1046082,New,Unfurnished,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
https://jiji.com.gh/cantonments/houses-apartments-for-rent/3bdrm-townhouse-terrace-in-cantonments-for-rent-CveXLJBehV93KMeGBguZONza.html,Townhouse / Terrace,4,3,33500.0,Cantonments,5.5767652,-0.1784836,Used,Semi-Furnished,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0
https://jiji.com.gh/pokuase/houses-apartments-for-rent/2bdrm-apartment-in-kon-agency-pokuase-for-rent-5IEhnZAcR0TMHV5EipWmTl7S.html,Apartment,3,2,2100.0,Pokuase,5.700273,-0.302078,New,Unfurnished,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0
https://jiji.com.gh/spintex/houses-apartments-for-rent/5bdrm-house-in-community-18-area-spintex-for-rent-crP6Wvdd3vnweOtsHHey4toX.html,House,4,5,8000.0,Spintex,5.6376136,-0.1266064,New,Unfurnished,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1
https://jiji.com.gh/adjiriganor/houses-apartments-for-rent/2bdrm-house-in-east-legon-adjiriganor-for-rent-dQ5kW5FV56wDzCoOG7PxNaZz.html,House,2,2,2500.0,Adjiriganor,5.6510376,-0.1354586,Used,Unfurnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://jiji.com.gh/teshie/houses-apartments-for-rent/1bdrm-apartment-in-legacy-solid-real-teshie-for-rent-n2U9JP82F8HKkMfbYcrUD0qW.html,Apartment,1,1,1700.0,Teshie,5.5831665,-0.1046082,Used,Unfurnished,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
https://jiji.com.gh/west-hills-mall/houses-apartments-for-rent/3bdrm-apartment-in-west-hills-mall-area-for-rent-rgk5BXfesXnypdt858HvewmU.html,Apartment,3,3,3500.0,Weija,5.5666403,-0.3334778,New,Unfurnished,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0
https://jiji.com.gh/weija/houses-apartments-for-rent/2bdrm-apartment-in-franjie-realty-weija-for-rent-ck1YyhWITxPNVGL2tuEi3NSB.html,Apartment,2,2,1600.0,Weija,5.5666403,-0.3334778,Used,Unfurnished,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
https://jiji.com.gh/east-legon/houses-apartments-for-rent/2bdrm-apartment-in-east-legon-hills-for-rent-zPP6QVYsUbEEk82IclxZbSTQ.html,Apartment,2,2,4500.0,East Legon,5.6358281,-0.1613592,Used,Semi-Furnished,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0
https://jiji.com.gh/adjiriganor/houses-apartments-for-rent/4bdrm-house-in-adjiriganor-for-rent-dbfNwgrcGDF3RhaDtQYJgK10.html,House,4,4,26000.0,Adjiriganor,5.6510376,-0.1354586,New,Semi-Furnished,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0
https://jiji.com.gh/tseaddo/houses-apartments-for-rent/1bdrm-apartment-in-tse-addo-is-600-tseaddo-for-rent-fGNBgIHn2yV3wPc6yRxu85Uc.html,Apartment,1,1,7000.0,Teshie,5.5831665,-0.1046082,Used,Semi-Furnished,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
https://jiji.com.gh/ashomang-estate/houses-apartments-for-rent/2bdrm-apartment-in-by-bridge-ashomang-estate-for-rent-mo19AJf1nUzpPwtBCoNdVEJX.html,Apartment,3,2,2600.0,Ashomang Estate,5.7062442,-0.2361929,Used,Unfurnished,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0
https://jiji.com.gh/spintex/houses-apartments-for-rent/1bdrm-apartment-in-hfc-estate-spintex-for-rent-ijOunsiHvncnDnWmIeRd4HbS.html,Apartment,1,1,1800.0,Spintex,5.6376136,-0.1266064,Used,Unfurnished,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1
https://jiji.com.gh/teshie/houses-apartments-for-rent/4bdrm-house-in-ayathar-bedroom-teshie-for-rent-aozLBkFUfMbkhLlUTmwx2u9I.html,House,5,4,5000.0,Teshie,5.5831665,-0.1046082,Used,Semi-Furnished,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0
https://jiji.com.gh/amasaman/houses-apartments-for-rent/1bdrm-house-in-stadium-junction-amasaman-for-rent-kkE3VKbmsH6xidikYpFTZjRP.html,House,1,1,600.0,Ga West Municipal,5.7088147,-0.3560076,New,Unfurnished,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
https://jiji.com.gh/dansoman/houses-apartments-for-rent/2bdrm-apartment-in-dansoman-for-rent-Ki4WZPXHEHDpSsU7Jaeszo4.html,Apartment,3,2,5000.0,Dansoman,5.5427477,-0.2565425,New,Semi-Furnished,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0
https://jiji.com.gh/pillar-2/houses-apartments-for-rent/1bdrm-apartment-in-ben-baah-property-pillar-2-for-rent-s3knexDb6B75q8yuejeGLY22.html,Apartment,1,1,1500.0,Dome,5.6439941,-0.2373383,New,Unfurnished,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://jiji.com.gh/accra-metropolitan/houses-apartments-for-rent/5bdrm-house-in-east-legon-accra-metropolitan-for-rent-iEPJemgZQ0J5T6H9cnK2eTUs.html,House,6,5,43700.0,Accra Metropolitan,5.5459415,-0.2103988,New,Unfurnished,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0
https://jiji.com.gh/ghana-flag/houses-apartments-for-rent/2bdrm-house-in-oyarifa-ghana-flag-for-rent-pPzWWn5vLZJf2KLsW4lxntBB.html,House,2,2,3999.0,Oyarifa,5.755537899999999,-0.1740052,Used,Semi-Furnished,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
https://jiji.com.gh/adjiriganor/houses-apartments-for-rent/4bdrm-apartment-in-adjiriganor-for-rent-pwmG7RCUJaBlNvWDwlpCgFQe.html,Apartment,5,4,16000.0,Adjiriganor,5.6510376,-0.1354586,New,Semi-Furnished,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
https://jiji.com.gh/dzorwulu/houses-apartments-for-rent/3bdrm-house-in-dzorwulu-for-rent-dicSX5nhuDmxkVVJa7dA3Aru.html,House,2,3,15000.0,Dzorwulu,5.6141232,-0.1956471,Used,Unfurnished,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://jiji.com.gh/dansoman/houses-apartments-for-rent/2bdrm-apartment-in-dansoman-for-rent-xByLEx4pQmu43UyMY3I49pNg.html,Apartment,3,2,4000.0,Dansoman,5.5427477,-0.2565425,New,Unfurnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://jiji.com.gh/abelemkpe/houses-apartments-for-rent/3bdrm-apartment-in-abelemkpe-for-rent-nCAgABTTFkXmt2MNmEij0xu9.html,Apartment,3,3,8000.0,Abelemkpe,5.6087022,-0.2164185,Used,Unfurnished,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
